NOP,NOP vs. UTA,10/27/2018,L,48,111,40,95,42.1,9,34,26.5,22,29,75.9,11,29,40,22,16,4,5,32,-21
POR,POR @ MIA,10/27/2018,L,48,111,37,88,42,12,33,36.4,25,28,89.3,8,34,42,14,9,7,8,25,-9
UTA,UTA @ NOP,10/27/2018,W,48,132,46,88,52.3,10,32,31.3,30,37,81.1,6,37,43,32,13,7,7,26,21
MEM,MEM vs. PHX,10/27/2018,W,48,117,44,79,55.7,9,26,34.6,20,22,90.9,3,36,39,30,12,12,1,21,21
PHI,PHI vs. CHA,10/27/2018,W,48,105,35,91,38.5,10,28,35.7,25,30,83.3,14,42,56,18,11,4,8,23,2
BOS,BOS @ DET,10/27/2018,W,48,109,39,86,45.3,14,34,41.2,17,25,68,8,46,54,25,13,4,8,26,20
SAS,SAS vs. LAL,10/27/2018,W,48,110,44,91,48.4,3,16,18.8,19,24,79.2,12,37,49,20,13,7,5,17,4
LAL,LAL @ SAS,10/27/2018,L,48,106,41,86,47.7,13,33,39.4,11,18,61.1,7,35,42,19,17,5,5,25,-4
DET,DET vs. BOS,10/27/2018,L,48,89,33,89,37.1,7,37,18.9,16,20,80,6,41,47,16,11,4,3,24,-20
PHX,PHX @ MEM,10/27/2018,L,48,96,36,78,46.2,9,33,27.3,15,19,78.9,5,30,35,28,19,5,1,25,-21
ORL,ORL @ MIL,10/27/2018,L,48,91,33,101,32.7,10,43,23.3,15,17,88.2,11,30,41,21,11,9,6,22,-22
CHI,CHI @ ATL,10/27/2018,W,48,97,36,83,43.4,12,33,36.4,13,16,81.3,8,44,52,25,23,14,6,21,12
CHA,CHA @ PHI,10/27/2018,L,48,103,37,95,38.9,9,35,25.7,20,24,83.3,9,39,48,19,9,3,8,25,-2
MIL,MIL vs. ORL,10/27/2018,W,48,113,41,82,50,10,30,33.3,21,23,91.3,6,51,57,24,21,6,7,19,22
MIA,MIA vs. POR,10/27/2018,W,48,120,44,96,45.8,15,39,38.5,17,26,65.4,16,40,56,21,13,7,8,21,9
CLE,CLE vs. IND,10/27/2018,L,48,107,40,86,46.5,7,25,28,20,22,90.9,16,23,39,21,18,9,2,20,-12
ATL,ATL vs. CHI,10/27/2018,L,48,85,27,84,32.1,12,40,30,19,23,82.6,11,37,48,20,22,9,8,13,-12
IND,IND @ CLE,10/27/2018,W,48,119,48,74,64.9,5,13,38.5,18,26,69.2,4,20,24,28,15,13,3,15,12
CHA,CHA vs. CHI,10/26/2018,W,48,135,53,93,57,14,32,43.8,15,16,93.8,11,39,50,30,12,10,10,18,29
MIL,MIL @ MIN,10/26/2018,W,48,125,49,92,53.3,19,46,41.3,8,11,72.7,7,55,62,32,18,4,8,23,30
GSW,GSW @ NYK,10/26/2018,W,48,128,51,87,58.6,16,33,48.5,10,12,83.3,6,33,39,26,14,10,6,16,28
DAL,DAL @ TOR,10/26/2018,L,48,107,38,92,41.3,12,30,40,19,24,79.2,10,34,44,22,15,6,6,17,-9
BKN,BKN @ NOP,10/26/2018,L,48,115,43,98,43.9,19,40,47.5,10,15,66.7,16,38,54,26,21,6,8,22,-2
HOU,HOU vs. LAC,10/26/2018,L,48,113,38,98,38.8,15,41,36.6,22,25,88,16,26,42,21,13,11,7,27,-20
SAC,SAC vs. WAS,10/26/2018,W,48,116,44,95,46.3,14,37,37.8,14,23,60.9,14,39,53,25,19,8,4,18,4
NOP,NOP vs. BKN,10/26/2018,W,48,117,44,98,44.9,9,23,39.1,20,26,76.9,15,31,46,23,11,11,11,20,2
LAC,LAC @ HOU,10/26/2018,W,48,133,43,79,54.4,12,23,52.2,35,38,92.1,5,39,44,17,16,8,4,21,20
MIN,MIN vs. MIL,10/26/2018,L,48,95,36,112,32.1,10,43,23.3,13,18,72.2,17,32,49,19,8,10,6,15,-30
WAS,WAS @ SAC,10/26/2018,L,48,112,40,86,46.5,14,42,33.3,18,23,78.3,5,37,42,22,21,8,7,27,-4
TOR,TOR vs. DAL,10/26/2018,W,48,116,44,91,48.4,11,27,40.7,17,20,85,12,38,50,23,13,10,5,22,9
CHI,CHI @ CHA,10/26/2018,L,48,106,37,85,43.5,16,36,44.4,16,22,72.7,8,26,34,21,14,5,7,16,-29
NYK,NYK vs. GSW,10/26/2018,L,48,100,39,90,43.3,13,39,33.3,9,12,75,11,29,40,17,20,6,1,18,-28
POR,POR @ ORL,10/25/2018,W,48,128,48,87,55.2,11,27,40.7,21,26,80.8,12,32,44,24,11,6,6,22,14
BOS,BOS @ OKC,10/25/2018,W,48,101,33,86,38.4,11,32,34.4,24,33,72.7,10,35,45,19,12,7,1,27,6
OKC,OKC vs. BOS,10/25/2018,L,48,95,37,94,39.4,7,28,25,14,25,56,16,41,57,19,16,5,6,27,-6
DEN,DEN @ LAL,10/25/2018,L,48,114,46,92,50,6,23,26.1,16,20,80,10,34,44,22,19,8,5,22,-7
ORL,ORL vs. POR,10/25/2018,L,48,114,43,86,50,12,30,40,16,20,80,11,29,40,29,14,5,7,21,-14
CLE,CLE @ DET,10/25/2018,L,48,103,41,89,46.1,8,24,33.3,13,15,86.7,7,23,30,18,9,11,1,25,-7
DET,DET vs. CLE,10/25/2018,W,48,110,41,78,52.6,11,28,39.3,17,29,58.6,13,35,48,21,20,4,5,21,7
LAL,LAL vs. DEN,10/25/2018,W,48,121,46,92,50,10,29,34.5,19,23,82.6,9,33,42,27,14,13,3,19,7
TOR,TOR vs. MIN,10/24/2018,W,48,112,46,89,51.7,11,32,34.4,9,12,75,11,33,44,26,17,9,8,18,7
CLE,CLE vs. BKN,10/24/2018,L,48,86,34,89,38.2,3,18,16.7,15,16,93.8,16,37,53,18,15,5,2,19,-16
BKN,BKN @ CLE,10/24/2018,W,48,102,38,87,43.7,14,34,41.2,12,15,80,8,36,44,23,14,8,1,16,16
LAL,LAL @ PHX,10/24/2018,W,48,131,52,100,52,10,28,35.7,17,23,73.9,11,32,43,34,8,13,5,19,18
GSW,GSW vs. WAS,10/24/2018,W,48,144,53,92,57.6,15,33,45.5,23,25,92,10,38,48,37,18,6,5,22,22
ATL,ATL vs. DAL,10/24/2018,W,48,111,37,91,40.7,15,38,39.5,22,31,71,10,44,54,28,15,6,6,26,7
UTA,UTA @ HOU,10/24/2018,W,48,100,34,78,43.6,10,29,34.5,22,28,78.6,9,38,47,21,19,7,5,21,11
SAC,SAC vs. MEM,10/24/2018,W,48,97,35,83,42.2,6,18,33.3,21,33,63.6,15,42,57,19,17,7,5,15,5
NYK,NYK @ MIA,10/24/2018,L,48,87,33,91,36.3,12,33,36.4,9,14,64.3,10,35,45,20,12,5,3,23,-23
